City,Longitude,Latitude,Max Temperature(F),Humidity(%),Cloudiness,Wind Speed(mph)
neiafu,-173.98,-18.65,80.6,94,75,5.82
traismauer,15.74,48.35,32.0,63,90,3.36
fereydunshahr,50.12,32.94,37.97,36,8,11.68
vanersborg,12.32,58.38,37.4,93,90,10.29
mainpuri,79.03,27.23,63.08,70,0,4.52
porto torres,8.4,40.84,57.2,67,40,6.93
fort nelson,-122.69,58.81,-4.01,76,90,8.05
sterling,-77.4,39.0,35.96,74,75,5.82
muros,-9.06,42.77,48.2,66,0,4.7
grand-lahou,-5.0,5.24,90.48,60,8,3.96
naberera,36.93,-4.2,83.15,52,32,5.41
nalut,10.98,31.86,55.7,60,0,6.42
qaqortoq,-46.03,60.72,29.64,91,88,16.04
beyneu,55.19,45.32,30.27,100,92,5.97
nanlong,106.05,31.35,40.98,87,32,4.74
okahandja,16.91,-21.98,93.2,12,40,5.82
todos santos,-110.23,23.45,68.0,88,75,4.7
tankhoy,105.12,51.55,-2.49,57,0,6.31
